mIoU    ,[ 1.48 80.95 12.2  36.21]
mIoU_obs,[ 0.3  71.43  2.83  0.26]
mIoU_hid,[ 1.18 16.33  9.46 35.95]
p(un|not un),26.77
p(dy|not dy),18.61
overallScores
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,38.53,10.4,30.66,20.41
 fr_true ,6.88,77.55,3.51,12.05
 oc_true ,11.82,5.66,52.27,30.25
 un_true ,2.26,5.28,14.58,77.88
observableScores
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,46.6,14.67,34.48,4.25
 fr_true ,5.58,89.47,1.55,3.4
 oc_true ,23.51,7.92,61.25,7.32
 un_true ,-1.0,-1.0,-1.0,-1.0
hiddenScores
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,34.85,7.96,30.36,26.83
 fr_true ,11.16,46.58,8.83,33.43
 oc_true ,8.07,4.81,49.83,37.3
 un_true ,2.21,5.15,14.55,78.09
