mIoU    ,[ 1.48 81.55 12.39 36.21]
mIoU_obs,[ 0.3  69.47  2.82  0.26]
mIoU_hid,[ 1.18 17.64  9.68 35.95]
p(un|not un),29.86
p(dy|not dy),15.49
overallScores
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,49.59,10.4,22.48,17.53
 fr_true ,5.41,77.28,3.05,14.26
 oc_true ,10.81,6.04,50.7,32.44
 un_true ,1.86,5.0,14.47,78.67
observableScores
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,53.2,15.2,25.55,6.05
 fr_true ,4.66,87.99,1.6,5.75
 oc_true ,21.79,9.28,58.8,10.13
 un_true ,-1.0,-1.0,-1.0,-1.0
hiddenScores
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,48.55,7.58,21.38,22.48
 fr_true ,8.03,49.41,7.04,35.53
 oc_true ,7.32,4.87,48.47,39.34
 un_true ,1.83,4.86,14.46,78.86
