mIoU    ,[ 1.48 72.23  9.2  36.21]
mIoU_obs,[ 0.3  60.63  1.86  0.26]
mIoU_hid,[ 1.18 16.09  7.58 35.95]
p(un|not un),55.69
p(dy|not dy),7.04
overallScores
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,40.85,16.83,7.0,35.33
 fr_true ,3.4,69.27,2.37,24.97
 oc_true ,6.9,16.21,16.0,60.88
 un_true ,3.33,6.51,8.05,82.11
observableScores
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,36.11,25.5,6.65,31.74
 fr_true ,2.28,81.38,1.47,14.87
 oc_true ,8.17,25.18,15.49,51.15
 un_true ,-1.0,-1.0,-1.0,-1.0
hiddenScores
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,44.3,12.03,7.09,36.58
 fr_true ,6.43,38.32,4.72,50.53
 oc_true ,6.58,13.54,16.14,63.74
 un_true ,3.31,6.4,8.05,82.24
